row_index,old_s3_url,new_s3_url,status,moving_logos
42,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Identity-Part5-Hindi-V1-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Identity-Part5-Hindi-V1-720p-1.7_ibhlr.mp4,success,
43,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-IntroductionToCSS-Part5-English-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-IntroductionToCSS-Part5-English-720p-1.7_ibhlr.mp4,success,
44,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-IntroductionToCSS-Part5-Hindi-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-IntroductionToCSS-Part5-Hindi-720p-1.7_ibhlr.mp4,success,
45,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-IntroductionToCssPart5-Telugu-720p-1.7.mp4,,error: batch-delogo exited with code 1,
46,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Week1-AssignmentDiscussion-English-v1-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Week1-AssignmentDiscussion-English-v1-720p-1.7_ibhlr.mp4,success,
47,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Week1-AssignmentDiscussion-Hindi-V1-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Week1-AssignmentDiscussion-Hindi-V1-720p-1.7_ibhlr.mp4,success,
48,s3://nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Week1-AssignmentDiscussion-Telugu-v1-720p.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/12-10-2020/12-10-2020-Week1-AssignmentDiscussion-Telugu-v1-720p_ibhlr.mp4,success,
49,s3://nw-studio-nkb-uploads/old/otg_prod/13-10-2020/13-10-2020-BasicsOfEntrepreneurship-English-v1-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/13-10-2020/13-10-2020-BasicsOfEntrepreneurship-English-v1-720p-1.7_ibhlr.mp4,success,"IB HUbs In Slide@0m10s(right-to-left,81px);IB Co In Slide@0m10s(right-to-left,80px);Only IB HUbs@1m14s(right-to-left,59px);Logo Bottom Right 2@1m14s(right-to-left,59px);NX IB 3@1m14s(right-to-left,59px);Only IB HUbs@1m16s(right-to-left,118px);Logo Bottom Right 2@1m16s(right-to-left,119px);NX IB 3@1m16s(right-to-left,119px);Only IB HUbs@2m12s(right-to-left,84px);Logo Bottom Right 2@2m12s(right-to-left,85px);NX IB 3@2m12s(right-to-left,85px);Nxtwave With IB Small@5m25s(left-to-right,28px);Only IB HUbs@5m33s(right-to-left,95px);Logo Bottom Right 2@5m33s(right-to-left,95px);NX IB 3@5m33s(right-to-left,95px);Nxtwave With IB in Slide@5m34s(right-to-left,578px);Only IB HUbs@5m37s(right-to-left,122px);Logo Bottom Right 2@5m37s(right-to-left,122px);NX IB 3@5m37s(right-to-left,122px);Nxtwave With IB in Slide@5m34s(right-to-left,28px);Nxtwave With IB in Slide@5m38s(right-to-left,596px);Only IB HUbs@6m8s(right-to-left,74px);Logo Bottom Right 2@6m8s(right-to-left,601px);NX IB 3@6m8s(right-to-left,74px);Nxtwave With IB Small@6m45s(right-to-left,166px);Only IB HUbs@7m13s(right-to-left,286px);Logo Bottom Right 2@7m13s(right-to-left,286px);NX IB 3@7m13s(right-to-left,286px);Only IB HUbs@9m35s(left-to-right,281px);Logo Bottom Right 2@9m35s(left-to-right,281px);NX IB 3@9m35s(left-to-right,281px);Only IB HUbs@9m39s(right-to-left,406px);Logo Bottom Right 2@9m39s(right-to-left,407px);NX IB 3@9m39s(right-to-left,143px);Nxtwave With IB in Slide@9m35s(right-to-left,125px);Nxtwave With IB in Slide@9m40s(right-to-left,585px);Nxtwave With IB Small@10m26s(left-to-right,39px);Only IB HUbs@10m50s(right-to-left,32px);Logo Bottom Right 2@10m50s(right-to-left,820px);NX IB 3@10m50s(right-to-left,33px);Only IB HUbs@11m23s(right-to-left,26px);Logo Bottom Right 2@11m23s(right-to-left,26px);NX IB 3@11m23s(right-to-left,26px);Nxtwave With IB Small@14m25s(right-to-left,135px);Only IB HUbs@14m30s(right-to-left,168px);Logo Bottom Right 2@14m30s(right-to-left,168px);NX IB 3@14m30s(right-to-left,168px);Only IB HUbs@14m45s(right-to-left,79px);Logo Bottom Right 2@14m45s(right-to-left,952px);NX IB 3@14m45s(right-to-left,80px);Only IB HUbs@15m5s(right-to-left,392px);Logo Bottom Right 2@15m5s(right-to-left,392px);NX IB 3@15m5s(right-to-left,115px);Nxtwave With IB in Slide@15m6s(left-to-right,256px);Nxtwave With IB in Slide@15m6s(left-to-right,256px);Only IB HUbs@15m7s(bottom-to-top,0px);Logo Bottom Right 2@15m7s(bottom-to-top,0px);NX IB 3@15m7s(bottom-to-top,0px);Nxtwave With IB in Slide@15m8s(right-to-left,572px);Only IB HUbs@15m12s(right-to-left,229px);Logo Bottom Right 2@15m12s(right-to-left,230px);NX IB 3@15m12s(right-to-left,230px);Nxtwave With IB in Slide@15m8s(right-to-left,93px);Nxtwave With IB in Slide@15m13s(right-to-left,603px);Nxtwave With IB Small@15m42s(right-to-left,288px);Nxtwave With IB Small@16m25s(right-to-left,258px);Nxtwave With IB Small@23m54s(right-to-left,212px);Only IB HUbs@24m20s(right-to-left,484px);Logo Bottom Right 2@24m20s(right-to-left,484px);NX IB 3@24m20s(right-to-left,37px)"
50,s3://nw-studio-nkb-uploads/old/otg_prod/13-10-2020/13-10-2020-BasicsOfEntrepreneurship-Hindi-V1-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/13-10-2020/13-10-2020-BasicsOfEntrepreneurship-Hindi-V1-720p-1.7_ibhlr.mp4,success,"IB HUbs In Slide@0m25s(right-to-left,30px);Only IB HUbs@1m20s(right-to-left,309px);Logo Bottom Right 2@1m20s(right-to-left,309px);NX IB 3@1m20s(right-to-left,309px);Nxtwave With IB in Slide@1m21s(right-to-left,622px);Only IB HUbs@1m33s(right-to-left,26px);Logo Bottom Right 2@1m33s(right-to-left,866px);NX IB 3@1m33s(right-to-left,27px);Only IB HUbs@2m39s(right-to-left,74px);Logo Bottom Right 2@2m39s(right-to-left,884px);NX IB 3@2m39s(right-to-left,75px);Nxtwave With IB Small@2m57s(right-to-left,41px);Only IB HUbs@3m31s(right-to-left,17px);Logo Bottom Right 2@3m31s(right-to-left,17px);NX IB 3@3m31s(right-to-left,17px);Only IB HUbs@8m14s(right-to-left,73px);Logo Bottom Right 2@8m14s(right-to-left,944px);NX IB 3@8m14s(right-to-left,74px);Nxtwave With IB Small@9m12s(right-to-left,277px);Nxtwave With IB Small@9m47s(right-to-left,95px);Nxtwave With IB Small@12m14s(right-to-left,115px);Nxtwave With IB Small@12m50s(right-to-left,53px);Only IB HUbs@14m48s(right-to-left,121px);Logo Bottom Right 2@14m48s(right-to-left,121px);NX IB 3@14m48s(right-to-left,121px);Only IB HUbs@15m43s(right-to-left,68px);Logo Bottom Right 2@15m43s(right-to-left,68px);NX IB 3@15m43s(right-to-left,68px);Nxtwave With IB in Slide@15m44s(right-to-left,521px);Nxtwave With IB Small@16m34s(right-to-left,20px);Nxtwave With IB Small@17m18s(right-to-left,36px);Nxtwave With IB Small@18m11s(right-to-left,33px);Nxtwave With IB Small@21m19s(right-to-left,221px);Nxtwave With IB Small@21m55s(right-to-left,129px);Only IB HUbs@22m1s(right-to-left,108px);Logo Bottom Right 2@22m1s(right-to-left,663px);NX IB 3@22m1s(right-to-left,107px);Only IB HUbs@24m41s(right-to-left,79px);Logo Bottom Right 2@24m41s(right-to-left,80px);NX IB 3@24m41s(right-to-left,80px);Nxtwave With IB in Slide@24m42s(right-to-left,533px);Nxtwave With IB Small@25m38s(right-to-left,48px)"
51,s3://nw-studio-nkb-uploads/old/otg_prod/13-10-2020/13-10-2020-BasicsOfEntrepreneurship-Telugu-v1-720p-1.7.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/13-10-2020/13-10-2020-BasicsOfEntrepreneurship-Telugu-v1-720p-1.7_ibhlr.mp4,success,"IB HUbs In Slide@0m17s(right-to-left,19px);IB Co In Slide@0m17s(right-to-left,113px);Only IB HUbs@1m22s(right-to-left,16px);Logo Bottom Right 2@1m22s(right-to-left,17px);NX IB 3@1m22s(right-to-left,17px);Only IB HUbs@1m23s(left-to-right,76px);Only IB HUbs@1m24s(right-to-left,115px);Logo Bottom Right 2@1m24s(right-to-left,115px);NX IB 3@1m24s(right-to-left,115px);Only IB HUbs@2m12s(right-to-left,30px);Logo Bottom Right 2@2m12s(right-to-left,527px);NX IB 3@2m12s(right-to-left,30px);Nxtwave With IB Small@2m47s(right-to-left,38px);Only IB HUbs@3m11s(right-to-left,44px);Logo Bottom Right 2@3m11s(right-to-left,563px);NX IB 3@3m11s(right-to-left,44px);Nxtwave With IB Small@5m14s(right-to-left,22px);Only IB HUbs@5m19s(right-to-left,343px);Logo Bottom Right 2@5m19s(right-to-left,987px);NX IB 3@5m19s(right-to-left,343px);Nxtwave With IB in Slide@5m20s(left-to-right,643px);Only IB HUbs@5m29s(right-to-left,364px);Logo Bottom Right 2@5m29s(right-to-left,364px);NX IB 3@5m29s(right-to-left,364px);Nxtwave With IB in Slide@5m20s(left-to-right,623px);Nxtwave With IB in Slide@5m30s(right-to-left,588px);Only IB HUbs@5m42s(right-to-left,135px);Logo Bottom Right 2@5m42s(right-to-left,136px);NX IB 3@5m42s(right-to-left,136px);Nxtwave With IB Small@6m24s(right-to-left,262px);Nxtwave With IB Small@7m4s(left-to-right,51px);Nxtwave With IB Small@7m35s(right-to-left,60px);Nxtwave With IB Small@10m13s(right-to-left,118px);Logo Bottom Right 2@10m15s(left-to-right,1000px);Only IB HUbs@10m24s(right-to-left,88px);Logo Bottom Right 2@10m24s(right-to-left,88px);NX IB 3@10m24s(right-to-left,88px);Nxtwave With IB in Slide@10m25s(right-to-left,508px);Only IB HUbs@10m51s(right-to-left,106px);Logo Bottom Right 2@10m51s(right-to-left,657px);NX IB 3@10m51s(right-to-left,106px);Nxtwave With IB Small@11m12s(right-to-left,108px);Nxtwave With IB Small@13m47s(right-to-left,146px);Only IB HUbs@13m52s(left-to-right,31px);Logo Bottom Right 2@13m52s(left-to-right,30px);NX IB 3@13m52s(left-to-right,30px);Nxtwave With IB Small@14m10s(right-to-left,126px);Logo Bottom Right 2@14m36s(right-to-left,905px);Nxtwave With IB Small@14m43s(right-to-left,21px);Logo Bottom Right 2@14m44s(left-to-right,905px);Nxtwave With IB Small@15m31s(right-to-left,229px);Only IB HUbs@16m32s(right-to-left,397px);Logo Bottom Right 2@16m32s(right-to-left,398px);NX IB 3@16m32s(right-to-left,137px);Nxtwave With IB Small@18m21s(right-to-left,254px);Nxtwave With IB Small@21m4s(right-to-left,42px);Only IB HUbs@21m5s(right-to-left,25px);Logo Bottom Right 2@21m5s(right-to-left,25px);NX IB 3@21m5s(right-to-left,25px);Nxtwave With IB Small@21m32s(right-to-left,244px);Only IB HUbs@22m21s(right-to-left,244px);Logo Bottom Right 2@22m21s(right-to-left,245px);NX IB 3@22m21s(right-to-left,245px);Nxtwave With IB in Slide@22m22s(right-to-left,669px)"
